id,employee_name,salary_rice_kg,allowance_value_idr
9489,Rini Lestari,25,375000
9490,Eko Santoso,15,225000
9491,Hadi Santoso,25,375000
9492,Andi Santoso,10,150000
9493,Siti Utami,25,375000
9494,Dewi Wijaya,20,300000
9495,Andi Wijaya,30,450000
9496,Hadi Kusuma,20,300000
9497,Mega Lestari,30,450000
9498,Siti Kusuma,30,450000
9499,Dewi Kusuma,30,450000
9500,Budi Mulyani,15,225000
9501,Sri Kusuma,25,375000
9502,Dewi Lestari,15,225000
9503,Hadi Rahma,25,375000
9504,Eko Rahma,30,450000
9505,Sri Rahma,25,375000
9506,Mega Lestari,25,375000
9507,Budi Setiawan,30,450000
9508,Budi Kusuma,25,375000
9509,Eko Kusuma,15,225000
9510,Hadi Lestari,20,300000
9511,Ahmad Lestari,30,450000
9512,Ahmad Kusuma,10,150000
9513,Ahmad Prasetyo,25,375000
9514,Sri Utami,20,300000
9515,Dewi Utami,20,300000
9516,Mega Dani,25,375000
9517,Siti Utami,25,375000
9518,Budi Utami,25,375000
9519,Dewi Lestari,20,300000
9520,Rini Setiawan,15,225000
9521,Rini Prasetyo,10,150000
9522,Dewi Wijaya,30,450000
9523,Mega Mulyani,25,375000
9524,Mega Kusuma,25,375000
9525,Mega Rahma,20,300000
9526,Hadi Prasetyo,20,300000
9527,Budi Lestari,25,375000
9528,Rini Setiawan,15,225000
9529,Andi Wijaya,25,375000
9530,Sri Wijaya,15,225000
9531,Ahmad Rahma,25,375000
9532,Siti Prasetyo,15,225000
9533,Eko Rahma,30,450000
9534,Siti Utami,10,150000
9535,Eko Setiawan,25,375000
9536,Dewi Prasetyo,10,150000
9537,Rini Santoso,10,150000
9538,Ahmad Rahma,20,300000
9539,Dewi Santoso,30,450000
9540,Hadi Utami,15,225000
9541,Siti Kusuma,25,375000
9542,Hadi Dani,10,150000
9543,Hadi Rahma,20,300000
9544,Budi Rahma,10,150000
9545,Hadi Wijaya,25,375000
9546,Dewi Wijaya,30,450000
9547,Dewi Kusuma,10,150000
9548,Budi Kusuma,15,225000
9549,Eko Kusuma,25,375000
9550,Sri Utami,25,375000
9551,Eko Rahma,25,375000
9552,Sri Utami,20,300000
9553,Mega Lestari,15,225000
9554,Budi Prasetyo,25,375000
9555,Eko Mulyani,25,375000
9556,Siti Rahma,25,375000
9557,Andi Prasetyo,20,300000
9558,Mega Prasetyo,15,225000
9559,Sri Santoso,30,450000
9560,Sri Rahma,30,450000
9561,Sri Dani,15,225000
9562,Mega Dani,20,300000
9563,Budi Setiawan,10,150000
9564,Rini Setiawan,25,375000
9565,Eko Prasetyo,25,375000
9566,Eko Santoso,30,450000
9567,Eko Kusuma,25,375000
9568,Ahmad Kusuma,30,450000
9569,Ahmad Wijaya,25,375000
9570,Siti Prasetyo,20,300000
9571,Dewi Lestari,30,450000
9572,Budi Rahma,20,300000
9573,Andi Mulyani,30,450000
9574,Dewi Prasetyo,10,150000
9575,Hadi Rahma,25,375000
9576,Sri Santoso,30,450000
9577,Ahmad Lestari,30,450000
9578,Sri Utami,15,225000
9579,Andi Santoso,15,225000
9580,Siti Dani,25,375000
9581,Budi Kusuma,25,375000
9582,Mega Santoso,20,300000
9583,Mega Utami,10,150000
9584,Sri Kusuma,20,300000
9585,Sri Prasetyo,15,225000
9586,Dewi Mulyani,25,375000
9587,Mega Mulyani,15,225000
9588,Eko Prasetyo,10,150000
9589,Dewi Dani,10,150000
9590,Hadi Mulyani,15,225000
9591,Eko Dani,25,375000
9592,Dewi Wijaya,30,450000
9593,Budi Kusuma,25,375000
9594,Andi Kusuma,15,225000
9595,Andi Kusuma,20,300000
9596,Andi Wijaya,25,375000
9597,Eko Setiawan,10,150000
9598,Budi Rahma,25,375000
9599,Hadi Santoso,15,225000
9600,Hadi Mulyani,10,150000
9601,Mega Kusuma,30,450000
9602,Eko Prasetyo,10,150000
9603,Sri Dani,10,150000
9604,Budi Santoso,15,225000
9605,Mega Dani,20,300000
9606,Dewi Utami,10,150000
9607,Rini Setiawan,20,300000
9608,Sri Mulyani,25,375000
9609,Rini Mulyani,20,300000
9610,Dewi Santoso,15,225000
9611,Budi Santoso,30,450000
9612,Mega Wijaya,10,150000
9613,Mega Lestari,10,150000
9614,Hadi Wijaya,25,375000
9615,Hadi Wijaya,15,225000
9616,Eko Prasetyo,30,450000
9617,Budi Rahma,20,300000
9618,Andi Santoso,15,225000
9619,Sri Mulyani,15,225000
9620,Hadi Mulyani,25,375000
9621,Sri Dani,30,450000
9622,Siti Prasetyo,20,300000
9623,Mega Dani,10,150000
9624,Rini Santoso,25,375000
9625,Ahmad Dani,25,375000
9626,Ahmad Prasetyo,20,300000
9627,Hadi Mulyani,20,300000
9628,Dewi Prasetyo,25,375000
9629,Andi Setiawan,25,375000
9630,Andi Lestari,20,300000
9631,Siti Mulyani,25,375000
9632,Eko Mulyani,10,150000
9633,Dewi Utami,15,225000
9634,Andi Santoso,30,450000
9635,Hadi Mulyani,10,150000
9636,Dewi Mulyani,20,300000
9637,Rini Wijaya,15,225000
9638,Rini Dani,30,450000
9639,Dewi Mulyani,15,225000
9640,Sri Wijaya,10,150000
9641,Ahmad Mulyani,10,150000
9642,Budi Rahma,25,375000
9643,Rini Rahma,30,450000
9644,Hadi Setiawan,30,450000
9645,Mega Dani,20,300000
9646,Dewi Rahma,25,375000
9647,Siti Kusuma,25,375000
9648,Mega Dani,30,450000
9649,Mega Utami,15,225000
9650,Ahmad Wijaya,10,150000
9651,Rini Kusuma,15,225000
9652,Sri Rahma,10,150000
9653,Dewi Lestari,10,150000
9654,Hadi Lestari,30,450000
9655,Siti Utami,20,300000
9656,Ahmad Dani,15,225000
9657,Hadi Prasetyo,30,450000
9658,Budi Rahma,15,225000
9659,Budi Kusuma,15,225000
9660,Andi Dani,10,150000
9661,Dewi Utami,15,225000
9662,Andi Utami,25,375000
9663,Sri Dani,10,150000
9664,Hadi Santoso,30,450000
9665,Budi Rahma,10,150000
9666,Hadi Rahma,20,300000
9667,Eko Santoso,15,225000
9668,Eko Lestari,30,450000
9669,Sri Wijaya,20,300000
9670,Ahmad Dani,30,450000
9671,Mega Wijaya,25,375000
9672,Mega Utami,25,375000
9673,Dewi Lestari,25,375000
9674,Hadi Santoso,25,375000
9675,Andi Prasetyo,30,450000
9676,Mega Lestari,30,450000
9677,Dewi Setiawan,30,450000
9678,Sri Mulyani,30,450000
9679,Ahmad Prasetyo,25,375000
9680,Sri Lestari,30,450000
9681,Hadi Santoso,30,450000
9682,Dewi Santoso,20,300000
9683,Mega Prasetyo,25,375000
9684,Dewi Utami,20,300000
9685,Ahmad Mulyani,20,300000
9686,Mega Lestari,15,225000
9687,Mega Setiawan,30,450000
9688,Sri Dani,25,375000
9689,Siti Utami,25,375000
9690,Sri Santoso,25,375000
9691,Eko Kusuma,10,150000
9692,Sri Setiawan,15,225000
9693,Eko Kusuma,20,300000
9694,Budi Mulyani,10,150000
9695,Dewi Santoso,30,450000
9696,Andi Prasetyo,25,375000
9697,Rini Setiawan,10,150000
9698,Ahmad Utami,25,375000
9699,Eko Rahma,15,225000
9700,Mega Mulyani,30,450000
9701,Dewi Prasetyo,30,450000
9702,Andi Kusuma,10,150000
9703,Siti Santoso,20,300000
9704,Mega Utami,20,300000
9705,Andi Santoso,10,150000
9706,Eko Utami,15,225000
9707,Siti Lestari,20,300000
9708,Dewi Mulyani,25,375000
9709,Andi Mulyani,20,300000
9710,Mega Rahma,25,375000
9711,Dewi Dani,10,150000
9712,Dewi Santoso,10,150000
9713,Dewi Kusuma,15,225000
9714,Rini Mulyani,20,300000
9715,Eko Setiawan,10,150000
9716,Budi Santoso,30,450000
9717,Ahmad Utami,20,300000
9718,Ahmad Kusuma,20,300000
9719,Dewi Utami,30,450000
9720,Eko Dani,10,150000
9721,Mega Kusuma,10,150000
9722,Rini Utami,10,150000
9723,Ahmad Prasetyo,10,150000
9724,Hadi Mulyani,10,150000
9725,Mega Mulyani,10,150000
9726,Siti Lestari,15,225000
9727,Mega Prasetyo,15,225000
9728,Sri Prasetyo,25,375000
9729,Budi Rahma,10,150000
9730,Rini Lestari,10,150000
9731,Hadi Santoso,30,450000
9732,Siti Dani,15,225000
9733,Mega Santoso,25,375000
9734,Budi Wijaya,20,300000
9735,Dewi Kusuma,30,450000
9736,Siti Prasetyo,20,300000
9737,Rini Kusuma,30,450000
9738,Rini Dani,10,150000
9739,Ahmad Kusuma,15,225000
9740,Sri Rahma,30,450000
9741,Budi Prasetyo,25,375000
9742,Sri Santoso,25,375000
9743,Rini Wijaya,20,300000
9744,Dewi Rahma,10,150000
9745,Siti Dani,25,375000
9746,Mega Prasetyo,25,375000
9747,Dewi Lestari,30,450000
9748,Ahmad Dani,30,450000
9749,Mega Prasetyo,10,150000
9750,Mega Prasetyo,25,375000
9751,Andi Santoso,15,225000
9752,Ahmad Setiawan,30,450000
9753,Hadi Mulyani,20,300000
9754,Andi Santoso,30,450000
9755,Dewi Wijaya,10,150000
9756,Mega Utami,25,375000
9757,Andi Mulyani,30,450000
9758,Ahmad Rahma,20,300000
9759,Mega Kusuma,20,300000
9760,Dewi Wijaya,10,150000
9761,Siti Prasetyo,30,450000
9762,Hadi Lestari,20,300000
9763,Hadi Utami,10,150000
9764,Andi Rahma,15,225000
9765,Andi Santoso,20,300000
9766,Mega Utami,15,225000
9767,Hadi Lestari,20,300000
9768,Andi Dani,30,450000
9769,Ahmad Wijaya,15,225000
9770,Hadi Utami,20,300000
9771,Dewi Utami,10,150000
9772,Ahmad Dani,25,375000
9773,Eko Dani,30,450000
9774,Rini Prasetyo,15,225000
9775,Ahmad Utami,10,150000
9776,Dewi Utami,15,225000
9777,Mega Mulyani,30,450000
9778,Andi Santoso,30,450000
9779,Siti Mulyani,20,300000
9780,Rini Mulyani,25,375000
9781,Mega Setiawan,15,225000
9782,Dewi Prasetyo,15,225000
9783,Dewi Prasetyo,20,300000
9784,Mega Kusuma,15,225000
9785,Budi Prasetyo,30,450000
9786,Sri Setiawan,15,225000
9787,Andi Utami,25,375000
9788,Rini Kusuma,20,300000
9789,Ahmad Setiawan,20,300000
9790,Hadi Setiawan,30,450000
9791,Mega Lestari,25,375000
9792,Eko Utami,15,225000
9793,Dewi Santoso,30,450000
9794,Siti Santoso,20,300000
9795,Eko Prasetyo,20,300000
9796,Eko Lestari,25,375000
9797,Rini Mulyani,25,375000
9798,Eko Wijaya,25,375000
9799,Andi Setiawan,25,375000
9800,Rini Mulyani,10,150000
9801,Siti Rahma,25,375000
9802,Sri Setiawan,30,450000
9803,Eko Wijaya,20,300000
9804,Budi Wijaya,10,150000
9805,Budi Prasetyo,30,450000
9806,Siti Kusuma,15,225000
9807,Rini Santoso,10,150000
9808,Siti Mulyani,10,150000
9809,Siti Mulyani,30,450000
9810,Mega Setiawan,15,225000
9811,Ahmad Rahma,15,225000
9812,Eko Utami,20,300000
9813,Eko Setiawan,15,225000
9814,Hadi Wijaya,20,300000
9815,Andi Lestari,20,300000
9816,Eko Santoso,15,225000
9817,Dewi Lestari,15,225000
9818,Ahmad Kusuma,10,150000
9819,Mega Prasetyo,25,375000
9820,Andi Kusuma,30,450000
9821,Hadi Lestari,25,375000
9822,Andi Setiawan,25,375000
9823,Eko Wijaya,10,150000
9824,Ahmad Setiawan,30,450000
9825,Sri Wijaya,15,225000
9826,Sri Setiawan,10,150000
9827,Eko Kusuma,30,450000
9828,Budi Utami,25,375000
9829,Budi Utami,30,450000
9830,Andi Dani,25,375000
9831,Mega Wijaya,20,300000
9832,Rini Setiawan,15,225000
9833,Mega Wijaya,20,300000
9834,Eko Kusuma,25,375000
9835,Siti Dani,20,300000
9836,Mega Mulyani,25,375000
9837,Dewi Setiawan,20,300000
9838,Eko Prasetyo,10,150000
9839,Sri Santoso,15,225000
9840,Eko Prasetyo,10,150000
9841,Budi Wijaya,15,225000
9842,Siti Utami,20,300000
9843,Mega Prasetyo,10,150000
9844,Ahmad Utami,20,300000
9845,Ahmad Santoso,30,450000
9846,Sri Wijaya,20,300000
9847,Budi Wijaya,10,150000
9848,Sri Utami,25,375000
9849,Mega Dani,25,375000
9850,Budi Mulyani,30,450000
9851,Mega Wijaya,15,225000
9852,Dewi Dani,25,375000
9853,Rini Rahma,10,150000
9854,Siti Kusuma,15,225000
9855,Andi Prasetyo,25,375000
9856,Sri Wijaya,10,150000
9857,Dewi Santoso,25,375000
9858,Rini Utami,10,150000
9859,Andi Mulyani,10,150000
9860,Eko Dani,10,150000
9861,Mega Kusuma,15,225000
9862,Eko Santoso,10,150000
9863,Budi Prasetyo,25,375000
9864,Eko Prasetyo,10,150000
9865,Dewi Prasetyo,30,450000
9866,Siti Wijaya,15,225000
9867,Hadi Wijaya,15,225000
9868,Mega Setiawan,10,150000
9869,Rini Santoso,30,450000
9870,Sri Lestari,25,375000
9871,Hadi Lestari,20,300000
9872,Sri Rahma,10,150000
9873,Sri Rahma,30,450000
9874,Eko Utami,10,150000
9875,Eko Kusuma,30,450000
9876,Mega Prasetyo,10,150000
9877,Siti Dani,20,300000
9878,Ahmad Dani,10,150000
9879,Andi Wijaya,15,225000
9880,Eko Rahma,10,150000
9881,Siti Prasetyo,25,375000
9882,Ahmad Prasetyo,30,450000
9883,Budi Lestari,10,150000
9884,Eko Kusuma,30,450000
9885,Sri Dani,30,450000
9886,Andi Dani,30,450000
9887,Sri Kusuma,25,375000
9888,Hadi Dani,10,150000
9889,Eko Utami,10,150000
9890,Rini Rahma,25,375000
9891,Siti Lestari,20,300000
9892,Budi Wijaya,15,225000
9893,Sri Santoso,20,300000
9894,Eko Rahma,15,225000
9895,Dewi Rahma,30,450000
9896,Hadi Rahma,10,150000
9897,Eko Santoso,30,450000
9898,Sri Rahma,10,150000
9899,Dewi Kusuma,20,300000
9900,Ahmad Prasetyo,15,225000
9901,Siti Santoso,30,450000
9902,Sri Kusuma,10,150000
9903,Andi Dani,20,300000
9904,Dewi Dani,30,450000
9905,Sri Wijaya,30,450000
9906,Ahmad Lestari,20,300000
9907,Hadi Kusuma,25,375000
9908,Ahmad Setiawan,15,225000
9909,Sri Prasetyo,15,225000
9910,Rini Wijaya,10,150000
9911,Mega Rahma,30,450000
9912,Siti Utami,20,300000
9913,Rini Kusuma,30,450000
9914,Rini Wijaya,30,450000
9915,Budi Rahma,30,450000
9916,Siti Wijaya,20,300000
9917,Siti Prasetyo,15,225000
9918,Sri Prasetyo,30,450000
9919,Siti Rahma,20,300000
9920,Ahmad Rahma,15,225000
9921,Siti Mulyani,20,300000
9922,Rini Setiawan,15,225000
9923,Ahmad Lestari,15,225000
9924,Budi Rahma,20,300000
9925,Ahmad Lestari,10,150000
9926,Ahmad Dani,20,300000
9927,Hadi Dani,10,150000
9928,Budi Setiawan,30,450000
9929,Hadi Kusuma,20,300000
9930,Siti Wijaya,30,450000
9931,Siti Utami,15,225000
9932,Budi Rahma,30,450000
9933,Mega Dani,15,225000
9934,Mega Wijaya,15,225000
9935,Andi Utami,10,150000
9936,Dewi Setiawan,15,225000
9937,Andi Rahma,10,150000
9938,Eko Rahma,15,225000
9939,Budi Prasetyo,30,450000
9940,Rini Setiawan,30,450000
9941,Hadi Utami,10,150000
9942,Rini Setiawan,25,375000
9943,Dewi Mulyani,30,450000
9944,Eko Dani,30,450000
9945,Ahmad Lestari,30,450000
9946,Mega Dani,15,225000
9947,Budi Santoso,20,300000
9948,Sri Rahma,10,150000
9949,Eko Kusuma,20,300000
9950,Eko Prasetyo,15,225000
9951,Ahmad Kusuma,30,450000
9952,Andi Mulyani,30,450000
9953,Rini Rahma,25,375000
9954,Rini Kusuma,20,300000
9955,Andi Setiawan,25,375000
9956,Siti Lestari,15,225000
9957,Rini Kusuma,15,225000
9958,Sri Santoso,10,150000
9959,Siti Utami,25,375000
9960,Rini Santoso,20,300000
9961,Ahmad Rahma,15,225000
9962,Siti Mulyani,25,375000
9963,Siti Mulyani,25,375000
9964,Eko Lestari,15,225000
9965,Rini Utami,25,375000
9966,Mega Wijaya,10,150000
9967,Andi Santoso,30,450000
9968,Hadi Kusuma,25,375000
9969,Ahmad Utami,15,225000
9970,Eko Kusuma,25,375000
9971,Rini Santoso,25,375000
9972,Dewi Rahma,30,450000
9973,Eko Mulyani,20,300000
9974,Rini Utami,10,150000
9975,Sri Rahma,30,450000
9976,Hadi Santoso,30,450000
9977,Budi Santoso,25,375000
9978,Andi Santoso,20,300000
9979,Rini Utami,10,150000
9980,Sri Utami,30,450000
9981,Andi Lestari,10,150000
9982,Eko Mulyani,15,225000
9983,Siti Rahma,30,450000
9984,Dewi Wijaya,15,225000
9985,Ahmad Setiawan,20,300000
9986,Ahmad Lestari,30,450000
9987,Hadi Rahma,15,225000
9988,Mega Rahma,25,375000
9989,Ahmad Dani,10,150000
9990,Andi Setiawan,25,375000
9991,Rini Prasetyo,30,450000
9992,Siti Kusuma,15,225000
9993,Budi Mulyani,10,150000
9994,Siti Kusuma,15,225000
9995,Ahmad Santoso,25,375000
9996,Budi Prasetyo,15,225000
9997,Budi Kusuma,20,300000
9998,Siti Dani,30,450000
9999,Mega Santoso,15,225000
10000,Mega Rahma,25,375000
10001,Mega Dani,30,450000
10002,Siti Santoso,25,375000
10003,Mega Rahma,10,150000
10004,Rini Prasetyo,20,300000
10005,Rini Dani,20,300000
10006,Siti Rahma,20,300000
10007,Ahmad Rahma,30,450000
10008,Mega Rahma,30,450000
10009,Budi Setiawan,30,450000
10010,Mega Mulyani,15,225000
10011,Eko Rahma,30,450000
10012,Rini Rahma,30,450000
10013,Andi Setiawan,20,300000
10014,Rini Mulyani,30,450000
10015,Rini Utami,10,150000
10016,Siti Lestari,25,375000
10017,Budi Kusuma,15,225000
10018,Hadi Mulyani,25,375000
10019,Sri Mulyani,20,300000
10020,Ahmad Prasetyo,30,450000
10021,Dewi Mulyani,20,300000
10022,Dewi Mulyani,20,300000
10023,Hadi Setiawan,25,375000
10024,Hadi Kusuma,25,375000
10025,Eko Mulyani,15,225000
10026,Eko Rahma,25,375000
10027,Siti Dani,20,300000
10028,Sri Rahma,25,375000
10029,Budi Rahma,30,450000
10030,Rini Santoso,20,300000
10031,Hadi Santoso,30,450000
10032,Siti Utami,25,375000
10033,Siti Wijaya,15,225000
10034,Hadi Prasetyo,20,300000
10035,Hadi Lestari,15,225000
10036,Siti Santoso,20,300000
10037,Budi Wijaya,30,450000
10038,Andi Lestari,20,300000
10039,Mega Setiawan,20,300000
10040,Ahmad Kusuma,10,150000
10041,Andi Prasetyo,30,450000
10042,Ahmad Mulyani,30,450000
10043,Mega Utami,25,375000
10044,Budi Mulyani,25,375000
10045,Andi Utami,30,450000
10046,Eko Prasetyo,20,300000
10047,Dewi Lestari,25,375000
10048,Rini Mulyani,30,450000
10049,Eko Mulyani,20,300000
10050,Andi Setiawan,25,375000
10051,Andi Dani,30,450000
10052,Hadi Wijaya,30,450000
10053,Siti Kusuma,15,225000
10054,Rini Santoso,10,150000
10055,Andi Dani,15,225000
10056,Rini Rahma,25,375000
10057,Andi Prasetyo,25,375000
10058,Andi Mulyani,15,225000
10059,Sri Wijaya,10,150000
10060,Sri Rahma,25,375000
10061,Sri Prasetyo,30,450000
10062,Dewi Mulyani,15,225000
10063,Dewi Wijaya,25,375000
10064,Eko Rahma,30,450000
10065,Andi Lestari,20,300000
10066,Budi Prasetyo,15,225000
10067,Dewi Prasetyo,25,375000
10068,Budi Kusuma,25,375000
10069,Budi Wijaya,15,225000
10070,Dewi Dani,10,150000
10071,Eko Mulyani,15,225000
10072,Budi Utami,20,300000
10073,Budi Dani,25,375000
10074,Eko Lestari,25,375000
10075,Ahmad Setiawan,20,300000
10076,Ahmad Lestari,20,300000
10077,Mega Dani,30,450000
10078,Ahmad Utami,20,300000
10079,Hadi Prasetyo,30,450000
10080,Sri Rahma,20,300000
10081,Andi Dani,20,300000
10082,Budi Lestari,15,225000
10083,Ahmad Lestari,30,450000
10084,Budi Utami,20,300000
10085,Mega Rahma,10,150000
10086,Andi Lestari,30,450000
10087,Sri Dani,15,225000
10088,Budi Wijaya,15,225000
10089,Siti Mulyani,20,300000
10090,Mega Rahma,10,150000
10091,Dewi Dani,10,150000
10092,Andi Rahma,15,225000
10093,Eko Lestari,20,300000
10094,Hadi Setiawan,15,225000
10095,Budi Lestari,30,450000
10096,Hadi Prasetyo,10,150000
10097,Mega Utami,30,450000
10098,Ahmad Wijaya,15,225000
10099,Sri Prasetyo,25,375000
10100,Siti Dani,25,375000
10101,Hadi Utami,25,375000
10102,Sri Setiawan,20,300000
10103,Sri Kusuma,30,450000
10104,Ahmad Santoso,30,450000
10105,Mega Setiawan,25,375000
10106,Siti Lestari,20,300000
10107,Siti Mulyani,15,225000
10108,Dewi Santoso,30,450000
10109,Siti Kusuma,30,450000
10110,Eko Rahma,20,300000
10111,Andi Rahma,10,150000
10112,Eko Rahma,10,150000
10113,Dewi Kusuma,15,225000
10114,Dewi Kusuma,25,375000
10115,Hadi Santoso,15,225000
10116,Andi Dani,20,300000
10117,Dewi Dani,20,300000
10118,Dewi Mulyani,25,375000
10119,Ahmad Prasetyo,30,450000
10120,Budi Prasetyo,10,150000
10121,Dewi Rahma,30,450000
10122,Siti Rahma,15,225000
10123,Budi Rahma,30,450000
10124,Eko Lestari,25,375000
10125,Mega Utami,15,225000
10126,Budi Dani,25,375000
10127,Dewi Wijaya,15,225000
10128,Ahmad Rahma,20,300000
10129,Dewi Prasetyo,15,225000
10130,Dewi Prasetyo,25,375000
10131,Eko Prasetyo,20,300000
10132,Hadi Utami,15,225000
10133,Rini Setiawan,10,150000
10134,Mega Rahma,15,225000
10135,Andi Rahma,25,375000
10136,Mega Lestari,20,300000
10137,Mega Lestari,10,150000
10138,Sri Prasetyo,30,450000
10139,Ahmad Kusuma,15,225000
10140,Eko Wijaya,10,150000
10141,Budi Kusuma,25,375000
10142,Mega Rahma,30,450000
10143,Siti Prasetyo,25,375000
10144,Eko Lestari,20,300000
10145,Mega Wijaya,20,300000
10146,Mega Santoso,20,300000
10147,Sri Dani,20,300000
10148,Sri Setiawan,15,225000
10149,Rini Utami,10,150000
10150,Ahmad Utami,10,150000
10151,Ahmad Rahma,15,225000
10152,Andi Setiawan,15,225000
10153,Ahmad Kusuma,30,450000
10154,Budi Rahma,15,225000
10155,Ahmad Mulyani,20,300000
10156,Sri Setiawan,20,300000
10157,Rini Utami,20,300000
10158,Eko Utami,15,225000
10159,Andi Dani,25,375000
10160,Rini Setiawan,20,300000
10161,Siti Santoso,25,375000
10162,Rini Dani,10,150000
10163,Eko Dani,10,150000
10164,Sri Mulyani,30,450000
10165,Eko Utami,25,375000
10166,Budi Wijaya,20,300000
10167,Siti Santoso,20,300000
10168,Eko Kusuma,25,375000
10169,Ahmad Rahma,15,225000
10170,Andi Wijaya,10,150000
10171,Siti Prasetyo,15,225000
10172,Andi Wijaya,25,375000
10173,Sri Setiawan,10,150000
10174,Siti Wijaya,15,225000
10175,Ahmad Santoso,20,300000
10176,Eko Wijaya,30,450000
10177,Rini Santoso,25,375000
10178,Andi Setiawan,10,150000
10179,Rini Santoso,15,225000
10180,Siti Setiawan,25,375000
10181,Andi Rahma,20,300000
10182,Ahmad Utami,30,450000
10183,Eko Prasetyo,25,375000
10184,Ahmad Dani,25,375000
10185,Hadi Kusuma,25,375000
10186,Budi Kusuma,10,150000
10187,Dewi Rahma,10,150000
10188,Sri Dani,15,225000
10189,Rini Wijaya,25,375000
10190,Rini Utami,10,150000
10191,Ahmad Wijaya,25,375000
10192,Hadi Prasetyo,30,450000
10193,Hadi Wijaya,10,150000
10194,Ahmad Setiawan,15,225000
10195,Sri Prasetyo,25,375000
10196,Budi Mulyani,15,225000
10197,Andi Setiawan,30,450000
10198,Sri Lestari,25,375000
10199,Hadi Santoso,30,450000
10200,Siti Dani,30,450000
10201,Eko Prasetyo,15,225000
10202,Budi Wijaya,10,150000
10203,Ahmad Lestari,25,375000
10204,Mega Prasetyo,25,375000
10205,Sri Wijaya,30,450000
10206,Andi Lestari,20,300000
10207,Ahmad Mulyani,25,375000
10208,Eko Kusuma,15,225000
10209,Andi Santoso,20,300000
10210,Ahmad Utami,25,375000
10211,Eko Prasetyo,10,150000
10212,Ahmad Lestari,15,225000
10213,Sri Mulyani,25,375000
10214,Rini Utami,20,300000
10215,Andi Wijaya,20,300000
10216,Andi Santoso,25,375000
10217,Dewi Dani,15,225000
10218,Rini Dani,10,150000
10219,Andi Rahma,15,225000
10220,Budi Prasetyo,20,300000
10221,Sri Rahma,10,150000
10222,Hadi Wijaya,15,225000
10223,Andi Lestari,30,450000
10224,Eko Santoso,25,375000
10225,Budi Prasetyo,25,375000
10226,Dewi Mulyani,20,300000
10227,Eko Wijaya,20,300000
10228,Mega Setiawan,20,300000
10229,Dewi Utami,25,375000
10230,Dewi Prasetyo,20,300000
10231,Eko Rahma,25,375000
10232,Siti Prasetyo,25,375000
10233,Rini Lestari,20,300000
10234,Hadi Kusuma,25,375000
10235,Eko Mulyani,15,225000
10236,Ahmad Prasetyo,10,150000
10237,Rini Santoso,10,150000
10238,Hadi Santoso,10,150000
10239,Ahmad Setiawan,15,225000
10240,Eko Santoso,10,150000
10241,Rini Rahma,20,300000
10242,Mega Mulyani,15,225000
10243,Sri Wijaya,10,150000
10244,Dewi Mulyani,20,300000
10245,Ahmad Rahma,15,225000
10246,Rini Wijaya,15,225000
10247,Rini Prasetyo,25,375000
10248,Sri Dani,20,300000
10249,Rini Dani,25,375000
10250,Dewi Rahma,10,150000
10251,Mega Setiawan,20,300000
10252,Dewi Utami,15,225000
10253,Eko Santoso,30,450000
10254,Mega Mulyani,30,450000
10255,Hadi Setiawan,20,300000
10256,Dewi Setiawan,25,375000
10257,Budi Wijaya,15,225000
10258,Hadi Kusuma,30,450000
10259,Eko Dani,10,150000
10260,Rini Kusuma,10,150000
10261,Andi Santoso,10,150000
10262,Andi Santoso,15,225000
10263,Dewi Dani,30,450000
10264,Rini Dani,20,300000
10265,Mega Kusuma,10,150000
10266,Budi Santoso,30,450000
10267,Mega Utami,25,375000
10268,Andi Mulyani,20,300000
10269,Mega Utami,20,300000
10270,Budi Rahma,10,150000
10271,Eko Setiawan,20,300000
10272,Siti Wijaya,30,450000
10273,Rini Santoso,30,450000
10274,Mega Prasetyo,10,150000
10275,Ahmad Rahma,25,375000
10276,Eko Utami,10,150000
10277,Dewi Rahma,15,225000
10278,Ahmad Setiawan,20,300000
10279,Sri Setiawan,25,375000
10280,Budi Wijaya,15,225000
10281,Ahmad Rahma,10,150000
10282,Budi Prasetyo,20,300000
10283,Budi Prasetyo,10,150000
10284,Andi Rahma,10,150000
10285,Sri Prasetyo,20,300000
10286,Mega Utami,10,150000
10287,Dewi Lestari,15,225000
10288,Hadi Setiawan,10,150000
10289,Ahmad Wijaya,15,225000
10290,Eko Mulyani,25,375000
10291,Hadi Rahma,20,300000
10292,Dewi Dani,30,450000
10293,Budi Utami,25,375000
10294,Rini Kusuma,10,150000
10295,Ahmad Setiawan,30,450000
10296,Dewi Santoso,10,150000
10297,Budi Setiawan,20,300000
10298,Budi Kusuma,15,225000
10299,Mega Dani,10,150000
10300,Rini Lestari,30,450000
10301,Andi Wijaya,10,150000
10302,Mega Wijaya,15,225000
10303,Ahmad Wijaya,30,450000
10304,Rini Utami,25,375000
10305,Eko Setiawan,15,225000
10306,Mega Lestari,25,375000
10307,Rini Rahma,25,375000
10308,Andi Dani,15,225000
10309,Dewi Kusuma,30,450000
10310,Ahmad Setiawan,15,225000
10311,Siti Rahma,20,300000
10312,Eko Lestari,10,150000
10313,Mega Setiawan,25,375000
10314,Rini Lestari,30,450000
10315,Mega Prasetyo,10,150000
10316,Eko Dani,25,375000
10317,Ahmad Setiawan,20,300000
10318,Andi Kusuma,25,375000
10319,Mega Santoso,30,450000
